(0, 31)
(0, 2)
(0, 8)
(13, 33)
(19, 33)
(2, 32)
(1, 30)
(1, 2)
(2, 3)
(2, 7)
(2, 13)
(9, 33)
(27, 33)
(2, 9)
(0, 5)
(0, 6)
(0, 4)
(0, 10)
(31, 33)
(31, 32)
(28, 33)
(23, 25)
(23, 27)
(2, 8)
(0, 11)
(26, 33)
(26, 29)
(0, 12)
(3, 12)
(14, 32)
(14, 33)
(15, 32)
(15, 33)
(24, 27)
(28, 31)
(18, 32)
(18, 33)
(0, 17)
(1, 17)
(20, 32)
(20, 33)
(0, 19)
(1, 19)
(4, 6)
(5, 10)
(22, 32)
(22, 33)
(0, 21)
(1, 21)
(2, 27)
(8, 32)
(8, 33)
(8, 30)
(30, 32)
(30, 33)
(0, 7)
(1, 7)
(3, 7)
(0, 1)
(0, 3)
(0, 13)
(1, 3)
(1, 13)
(2, 28)
(3, 13)
(4, 10)
(5, 6)
(5, 16)
(6, 16)
(23, 29)
(23, 32)
(23, 33)
(24, 25)
(24, 31)
(25, 31)
(29, 32)
(29, 33)
(32, 33)
